store_name,latitude,longitude
FOOLISH SHOP,41.8967068,12.4822025
I Love Burger & much more,41.8967068,12.4822025
Fualdé L'Assaggio,41.9458083,12.5245708
Ham Holy Burger - Termini,41.9012873,12.5015756
Bottiglieria Pigneto,41.8879204,12.5298986
One Market,41.87010069999999,12.5313102
Drupa Caffe,41.9441202,12.3903066
One Market,41.87010069999999,12.5313102
Trapizzino,41.8967068,12.4822025
Açai sisters,41.907045,12.4959616
Farina Lab,41.9272722,12.5150297
Maremma Gourmet,41.9219471,12.5131776
Pokè By Daruma,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
Crudo Sushi & Pokè,41.91427110000001,12.3866498
Palma Poké,41.8525799,12.4799057
Bottiglieria Pigneto,41.8879204,12.5298986
Old Wild West,41.8967068,12.4822025
 Chiancheria Gourmet,41.8719042,12.4798009
Panizzo - I Panizzeri,41.9678687,12.5368125
American Candy Corner,41.8776015,12.5184314
Pausa panino,41.8674396,12.4927454
Sweet King,41.9256603,12.516733
 La Miglior Colomba di Milano - DolceVita by Vergani,41.8967068,12.4822025
3 Quarti Prati,41.908431,12.464738
The Yellow Bar,41.904907,12.5045377
100 Montaditos,41.9082663,12.5383794
Birre dal Futuro,41.8967068,12.4822025
Pokè By Daruma,41.8967068,12.4822025
Da Giovanni,41.9460735,12.4667486
L'Enoteca Gourmet,41.8728919,12.5276237
One Market,41.87010069999999,12.5313102
Burger Art,41.8656774,12.4466808
Panizzo - I Panizzeri,41.9678687,12.5368125
I Love Burger & much more,41.8967068,12.4822025
Gelateria La Romana,41.8967068,12.4822025
Obicà Mozzarella Bar - Parlamento,41.9022945,12.4761371
FOOLISH SHOP,41.8967068,12.4822025
America Graffiti,41.8406865,12.5520659
Beerbubbles,41.88668029999999,12.5609273
